# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov 11 07:45:11 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2
2M0437 b,2MASS J04372171+2651014,1,1,2021,0,,,,,118.000000,1.300000,-1.300000,0,1271.31363,317.82841,-317.82841,0,,,,,,,,,1450,50,-50,0,M V,3100.00,100.00,-100.00,0,0.84,0.11,-0.11,0,0.17,0.01,-0.02,0,4.50,0.50,-0.50,0,128.4840000,1.1960000,-1.1740000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,2013,0,,,,,84.000000,,,0,4131.79000,317.83000,-317.83000,0,,,,,,,,,,,,,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0,,,,,47.2000000,3.1000000,-3.1000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,2013,0,,,,,52.000000,6.000000,-6.000000,0,7786.50000,794.50000,-794.50000,0,,,,,,,,,1600,100,-100,0,M3.5 V,3530.00,50.00,-50.00,0,0.37,0.01,-0.01,0,0.40,0.05,-0.05,0,4.86,0.00,0.00,0,33.8281000,0.0864000,-0.0860000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,2015,0,,,,,156.000000,10.000000,-10.000000,0,4417.83700,349.61300,-349.61300,0,,,,,,,,,,,,,M6,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,4.59,0.06,-0.06,0,40.0896412,0.1940496,-0.1940496
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,2010,0,,,,,15.000000,,,0,2383.60000,794.50000,-794.50000,0,,,,,,,,,,,,,M8.5,2936.00,182.00,-182.00,0,0.23,0.01,-0.01,0,0.02,,,0,5.01,0.00,0.00,0,120.4239870,5.4783417,-5.4783417
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,2004,0,,,,,55.000000,,,0,1589.15000,635.66000,-635.66000,0,,,,,,,,,1250,200,-200,0,M8,2825.00,157.00,-157.00,0,0.22,0.01,-0.01,0,0.02,,,0,5.03,0.02,-0.02,0,64.3080000,0.6569000,-0.6440000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,2015,0,406.00000000,4.00000000,-4.00000000,0,0.920000,0.020000,-0.020000,0,603.87700,31.78300,-31.78300,0,0.330000,0.050000,-0.050000,0,,,,,,,,,,29564.00,,,0,0.20,0.00,0.00,0,0.48,,,0,5.51,0.01,-0.01,0,396.3320000,6.3885000,-6.3885000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,2016,0,,,,,230.000000,20.000000,-20.000000,0,3972.87500,476.74500,-476.74500,0,,,,,,,,,,,,,K7 V,4045.00,35.00,-35.00,0,0.64,0.06,-0.06,0,0.60,0.05,-0.05,0,4.62,0.09,-0.13,0,69.5737000,0.1592000,-0.1585000
30 Ari B b,30 Ari B,4,1,2009,0,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,4392.41060,572.09400,-572.09400,0,0.290000,0.090000,-0.090000,0,,,,,,,,,F6 V,6331.00,61.00,-61.00,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,4.43,0.05,-0.05,0,44.6570000,0.1039000,-0.1034000
4 UMa b,4 UMa,1,1,2006,0,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,2256.50000,508.50000,-508.50000,0,0.432000,0.024000,-0.024000,0,,,,,,,,,K1 III,4415.00,70.00,-70.00,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,1.80,0.15,-0.15,0,73.4603000,1.1860500,-1.1860500
42 Dra b,42 Dra,2,1,2008,0,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,1233.13000,270.14000,-270.14000,0,0.380000,0.060000,-0.060000,0,,,,,,,,,K1.5 III,4200.00,70.00,-70.00,0,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,1.71,0.05,-0.05,0,90.6545000,1.3227000,-1.3227000
47 UMa b,47 UMa,1,3,1996,0,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,804.08000,22.25000,-19.07000,0,0.032000,0.014000,-0.014000,0,,,,,,,,,G0 V,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,4.30,0.07,-0.07,0,13.7967000,0.0289000,-0.0289000
47 UMa c,47 UMa,1,3,2001,0,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,171.62100,20.97600,-23.20100,0,0.098000,0.047000,-0.096000,0,,,,,,,,,G1 V,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,4.30,0.07,-0.07,0,13.7967000,0.0289000,-0.0289000
47 UMa d,47 UMa,1,3,2009,0,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,521.22000,92.17000,-152.55000,0,0.160000,0.090000,-0.160000,0,,,,,,,,,G0V,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,4.30,0.07,-0.07,0,13.7967000,0.0289000,-0.0289000
51 Eri b,51 Eri,3,1,2015,0,11688.00000000,6209.25000000,-3287.25000000,0,13.200000,0.200000,-0.200000,0,635.66000,,,0,0.450000,0.100000,-0.150000,0,,,,,700,,,0,F0 IV,7295.00,120.09,-98.99,0,1.49,0.05,-0.06,0,1.75,0.05,-0.05,0,4.31,0.09,-0.07,0,29.7575000,0.1213000,-0.1203000
51 Peg b,51 Peg,1,1,1995,0,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,146.20180,19.06980,-3.17830,0,0.013000,0.012000,-0.012000,0,,,,,,,,,G5V,5758.00,101.62,-119.62,0,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,4.31,0.08,-0.06,0,15.4614000,0.0297000,-0.0297000
55 Cnc b,55 Cnc,2,5,1996,0,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,263.97850,1.04880,-1.04880,0,0.000000,0.010000,-0.010000,0,,,,,700,,,0,K0 IV-V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,4.43,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000
55 Cnc c,55 Cnc,2,5,2004,0,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,54.47380,1.74800,-1.74800,0,0.030000,0.020000,-0.020000,0,,,,,,,,,G8V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,4.43,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000
55 Cnc d,55 Cnc,2,5,2002,0,5574.20000000,93.80000000,-88.60000000,0,5.957000,0.074000,-0.071000,0,1232.49300,21.61200,-21.61200,0,0.130000,0.020000,-0.020000,0,,,,,,,,,G8 V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,4.43,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000
55 Cnc e,55 Cnc,2,5,2004,0,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,7.99000,0.32000,-0.33000,0,0.050000,0.030000,-0.030000,0,2657.83,,,0,1958,15,-15,0,G8 V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,4.43,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000
55 Cnc f,55 Cnc,2,5,2007,0,259.88000000,0.29000000,-0.29000000,0,0.770800,0.004300,-0.004400,0,44.81200,3.81400,-3.81400,0,0.080000,0.050000,-0.040000,0,,,,,,,,,G8V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,4.43,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000
6 Lyn b,6 Lyn,1,1,2008,0,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,638.83830,24.47291,-24.47291,0,0.073000,0.036000,-0.036000,0,,,,,,,,,K0 IV,4938.00,,,0,5.20,,,0,1.44,,,0,3.19,,,0,54.6599000,0.2734000,-0.2734000
61 Vir b,61 Vir,1,3,2009,0,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,5.10000,0.50000,-0.50000,0,0.120000,0.110000,-0.110000,0,,,,,,,,,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,4.34,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000
61 Vir c,61 Vir,1,3,2009,0,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,18.20000,1.10000,-1.10000,0,0.140000,0.060000,-0.060000,0,,,,,,,,,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,4.34,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000
61 Vir d,61 Vir,1,3,2009,0,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,22.90000,2.60000,-2.60000,0,0.350000,0.090000,-0.090000,0,,,,,,,,,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,4.34,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000
7 CMa b,7 CMa,1,2,2011,0,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,587.98550,19.06980,-19.06980,0,0.060000,0.030000,-0.030000,0,,,,,,,,,K1 III,4826.00,45.00,-55.00,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,3.19,0.06,-0.07,0,19.8101000,0.1648000,-0.1648000
7 CMa c,7 CMa,1,2,2019,0,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,276.51210,19.06980,-19.06980,0,0.080000,0.050000,-0.040000,0,,,,,,,,,K1III(+M),4826.00,45.00,-55.00,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,3.19,0.06,-0.07,0,19.8101000,0.1648000,-0.1648000
70 Vir b,70 Vir,1,1,1996,0,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,2380.45000,193.87000,-193.87000,0,0.398800,0.001900,-0.001900,0,,,,,,,,,G5V,5495.00,,,0,1.89,,,0,1.09,,,0,3.95,,,0,17.9011000,0.0560000,-0.0557000
75 Cet b,75 Cet,2,1,2012,0,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,953.49000,,,0,0.117000,0.048000,-0.048000,0,,,,,,,,,G3 III,4846.00,18.00,-18.00,0,10.50,1.00,-1.00,0,2.49,0.02,-0.27,0,2.63,0.05,-0.05,0,82.9613000,0.7236500,-0.7236500
8 UMi b,8 UMi,1,1,2015,0,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,416.35730,50.85280,-50.85280,0,0.060000,0.090000,-0.090000,0,,,,,,,,,K0,4847.00,7.00,-7.00,0,10.30,0.57,-0.57,0,1.44,0.19,-0.19,0,2.57,0.03,-0.03,0,162.5520000,0.6510000,-0.6460000
81 Cet b,81 Cet,1,1,2008,0,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,1684.40000,,,0,0.206000,0.029000,-0.029000,0,,,,,,,,,G5 III,4785.00,25.00,-25.00,0,11.00,2.00,-1.00,0,2.40,0.10,-0.40,0,2.35,0.08,-0.08,0,101.2600000,1.2220000,-1.2220000
91 Aqr b,91 Aqr,3,1,2013,0,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,1017.00000,,,0,0.027000,0.026000,-0.026000,0,,,,,,,,,K0 III,4665.00,18.00,-18.00,0,11.00,0.10,-0.10,0,1.40,0.10,-0.10,0,2.52,0.05,-0.05,0,44.0304000,0.5132500,-0.5132500
AB Aur b,AB Aur,1,1,2022,0,,,,,93.900000,49.300000,-49.300000,0,2860.45566,,,0,0.400000,0.200000,-0.210000,0,,,,,,,,,,9770.00,100.00,-100.00,0,2.96,0.10,-0.07,0,2.40,0.20,-0.20,0,3.77,0.09,-0.07,0,162.1270000,1.5260000,-1.4980000
AB Pic b,AB Pic,1,1,2005,0,,,,,260.000000,,,0,4290.50000,158.90000,-158.90000,0,,,,,,,,,,,,,K2 V,5285.00,10.00,-9.00,0,1.00,0.03,-0.02,0,0.90,0.10,-0.10,0,4.53,0.01,-0.01,0,50.0475000,0.0735000,-0.0733000
AU Mic b,AU Mic,1,2,2020,0,8.46299910,,,0,0.064500,0.001300,-0.001300,0,20.12000,1.57000,-1.72000,0,0.186000,0.036000,-0.035000,0,76.64,,,0,593,21,-21,0,M1,3588.00,87.00,-87.00,0,0.70,0.02,-0.02,0,0.50,0.03,-0.03,0,4.39,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250
AU Mic c,AU Mic,1,2,2021,0,18.85899100,,,0,0.110100,0.002000,-0.002000,0,9.60000,2.07000,-2.31000,0,0.041000,0.047000,-0.026000,0,,,,,454,16,-16,0,M1,3700.00,100.00,-100.00,0,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0,4.39,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250
BD+03 2562 b,BD+03 2562,1,1,2017,0,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,2034.11200,413.17900,-413.17900,0,0.200000,0.120000,-0.080000,0,,,,,,,,,,4095.00,20.00,-20.00,0,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,1.89,0.10,-0.10,0,1070.6300000,63.8750000,-63.8750000
BD+14 4559 b,BD+14 4559,1,1,2009,0,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,330.54320,149.38010,-149.38010,0,0.290000,0.030000,-0.030000,0,,,,,,,,,K2 V,4864.00,101.00,-101.00,0,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0,4.26,0.29,-0.29,0,49.3520000,0.0846000,-0.0844000
BD+15 2375 b,BD+15 2375,1,1,2016,0,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,337.21763,85.81410,-85.81410,0,0.001000,0.250000,-0.001000,0,,,,,,,,,G5,4649.00,30.00,-30.00,0,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,2.61,0.12,-0.12,0,768.0450000,45.0380000,-45.0380000
BD+15 2940 b,BD+15 2940,1,1,2013,0,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,352.78000,,,0,0.260000,0.100000,-0.100000,0,,,,,,,,,K0,4796.00,117.00,-117.00,0,14.70,2.80,-2.80,0,1.10,0.20,-0.20,0,2.80,0.45,-0.45,0,426.4200000,6.4400000,-6.4400000
BD+20 2457 b,BD+20 2457,1,2,2009,0,379.63000000,2.00000000,-2.00000000,0,1.050000,0.070000,-0.070000,0,17668.16970,24965.54650,-24965.54650,0,0.150000,0.030000,-0.030000,0,,,,,,,,,K2 II,4259.00,64.00,-64.00,0,71.02,73.63,-73.63,0,10.83,22.96,-22.96,0,1.77,0.19,-0.19,0,1539.7100000,189.9250000,-189.9250000
BD+20 2457 c,BD+20 2457,1,2,2009,0,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,3963.17000,,,0,0.180000,0.060000,-0.060000,0,,,,,,,,,K2 II,4137.00,10.00,-10.00,0,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,1.51,0.05,-0.05,0,1539.7100000,189.9250000,-189.9250000
